Geo,Year,PkgSpacesPerSFDU,PkgSpacesPerMFDU,PkgSpacesPerGQ,PropNonWrkTripPay,PropWkrPay,PropCashOut,PkgCost.2010
198,2016,3.0,3.0,0,0.020979020979020935,0.0,0,0.0
199,2016,3.0,3.0,0,0.12048192771084343,0.0,0,0.0
200,2016,3.0,3.0,0,0.6535401750198886,0.0,0,0.0
201,2016,3.0,3.0,0,0.11078717201166177,0.0,0,0.0
202,2016,3.0,3.0,0,0.18681318681318682,0.0,0,0.0
203,2016,3.0,3.0,0,0.10264900662251653,0.0,0,0.0
204,2016,3.0,3.0,0,1.0,0.0,0,0.0
205,2016,3.0,3.0,0,0.15662650602409633,0.0,0,0.0
206,2016,3.0,3.0,0,0.11807228915662649,0.0,0,0.0
207,2016,3.0,3.0,0,0.059016393442622994,0.0,0,0.0
208,2016,3.0,3.0,0,0.13097245643620015,0.0,0,0.0
209,2016,3.0,3.0,0,0.09646302250803862,0.0,0,0.0
210,2016,3.0,3.0,0,0.12406015037593987,0.0,0,0.0
211,2016,3.0,3.0,0,0.050000000000000044,0.0,0,0.0
212,2016,3.0,3.0,0,0.11504424778761058,0.0,0,0.0
213,2016,3.0,3.0,0,0.08179959100204504,0.0,0,0.0
214,2016,3.0,3.0,0,0.1775147928994083,0.0,0,0.0
215,2016,3.0,3.0,0,0.07945205479452055,0.0,0,0.0
216,2016,3.0,3.0,0,0.39622641509433965,0.0,0,0.0
217,2016,3.0,3.0,0,0.3571428571428571,0.0,0,0.0
218,2016,3.0,3.0,0,0.8888888888888888,0.0,0,0.0
219,2016,3.0,3.0,0,0.2990378951502062,0.0,0,0.0
220,2016,3.0,3.0,0,0.16508122347431586,0.0,0,0.0
221,2016,3.0,3.0,0,0.1352941176470588,0.0,0,0.0
222,2016,3.0,3.0,0,0.11764705882352944,0.0,0,0.0
223,2016,3.0,3.0,0,0.15048543689320393,0.0,0,0.0
224,2016,3.0,3.0,0,0.2098765432098766,0.0,0,0.0
225,2016,3.0,3.0,0,0.5854341736694677,0.0,0,0.0
226,2016,3.0,3.0,0,0.08211678832116787,0.0,0,0.0
227,2016,3.0,3.0,0,0.10273556231003045,0.0,0,0.0
228,2016,3.0,3.0,0,0.09939148073022308,0.0,0,0.0
229,2016,3.0,3.0,0,0.08735632183908049,0.0,0,0.0
230,2016,3.0,3.0,0,0.0,0.0,0,0.0
231,2016,3.0,3.0,0,0.4263565891472868,0.0,0,0.0
232,2016,3.0,3.0,0,0.125,0.0,0,0.0
233,2016,3.0,3.0,0,0.10795681727309081,0.0,0,0.0
234,2016,3.0,3.0,0,0.12432432432432428,0.0,0,0.0
235,2016,3.0,3.0,0,0.11764705882352944,0.0,0,0.0
236,2016,3.0,3.0,0,0.09545454545454546,0.0,0,0.0
237,2016,3.0,3.0,0,0.0847457627118644,0.0,0,0.0
238,2016,3.0,3.0,0,0.16158536585365857,0.0,0,0.0
239,2016,3.0,3.0,0,0.18201956802658303,0.0,0,0.0
240,2016,3.0,3.0,0,0.14754098360655743,0.0,0,0.0
241,2016,3.0,3.0,0,0.07425149700598799,0.0,0,0.0
242,2016,3.0,3.0,0,0.10679611650485432,0.0,0,0.0
243,2016,3.0,3.0,0,0.0993788819875776,0.0,0,0.0
244,2016,3.0,3.0,0,0.11576354679802958,0.0,0,0.0
245,2016,3.0,3.0,0,0.11764705882352944,0.0,0,0.0
246,2016,3.0,3.0,0,0.13953488372093026,0.0,0,0.0
247,2016,3.0,3.0,0,0.375,0.0,0,0.0
248,2016,3.0,3.0,0,0.0,0.0,0,0.0
249,2016,3.0,3.0,0,0.22236340533672172,0.0,0,0.0
250,2016,3.0,3.0,0,0.3893805309734514,0.0,0,0.0
251,2016,3.0,3.0,0,0.1579791499599038,0.0,0,0.0
252,2016,3.0,3.0,0,0.6518072289156627,0.0,0,0.0
253,2016,3.0,3.0,0,0.20588235294117652,0.0,0,0.0
254,2016,3.0,3.0,0,0.32558139534883723,0.0,0,0.0
255,2016,3.0,3.0,0,0.1140065146579805,0.0,0,0.0
256,2016,3.0,3.0,0,0.1362007168458781,0.0,0,0.0
257,2016,3.0,3.0,0,0.13105726872246692,0.0,0,0.0
258,2016,3.0,3.0,0,0.09788867562380044,0.0,0,0.0
259,2016,3.0,3.0,0,0.08719851576994431,0.0,0,0.0
260,2016,3.0,3.0,0,0.2965171755725191,0.0,0,0.0
261,2016,3.0,3.0,0,0.7,0.0,0,0.0
262,2016,3.0,3.0,0,0.8230337078651686,0.0,0,0.0
263,2016,3.0,3.0,0,0.5285638013881473,0.0,0,0.0
264,2016,3.0,3.0,0,0.8709677419354839,0.0,0,0.0
265,2016,3.0,3.0,0,0.14978821717366186,0.0,0,0.0
266,2016,3.0,3.0,0,0.46778190830235444,0.0,0,0.0
267,2016,3.0,3.0,0,0.5204498977505112,0.0,0,0.0
268,2016,3.0,3.0,0,0.12345013477088951,0.0,0,0.0
269,2016,3.0,3.0,0,0.20993371470080813,0.0,0,0.0
270,2016,3.0,3.0,0,0.08188602915533238,0.0,0,0.0
271,2016,3.0,3.0,0,0.12957900492072172,0.0,0,0.0
272,2016,3.0,3.0,0,0.13186813186813184,0.0,0,0.0
273,2016,3.0,3.0,0,0.42028985507246375,0.0,0,0.0
274,2016,3.0,3.0,0,0.19836956521739135,0.0,0,0.0
275,2016,3.0,3.0,0,0.11308562197092087,0.0,0,0.0
276,2016,3.0,3.0,0,0.14299153339604886,0.0,0,0.0
